id,isbn,title,author,publisher,image_url,content
174001,9788985062497,에코에티카:기술사회의 새로운 윤리학,이마미치 도모노부 지음;정명환 역,솔출판사,https://bookthumb-phinf.pstatic.net/cover/000/716/00071684.jpg?type=m1&udate=20120509,앞으로의 시대에 필요한 새로운 윤리학이라는 뜻의   에코에티카(ECO-ETHICA) 입문서.  인간이 직면하는   윤리덕목을 논했다.
174002,9788977470033,시험과 체벌이 없는 학교:영훈국민학교의 열린교육 이야기,박성방 지음,책과 사람들,,학교의 열린교육이론을 시범학교 영훈국교의 실제적  경험을 토대로 체계있게 소개하였다.
174003,9788974420208,(소설)大夢,쓰모토 요 지음;임종한 옮김,매일경제신문사,https://bookthumb-phinf.pstatic.net/cover/002/042/00204209.jpg?type=m1&udate=20100414,일본 작가의 대하역사소설. 일본 전국시대 66개국을  통일한 제국주의자 오다 노부나가의 일대기를 그렸다.
174004,9788974420192,(소설)大夢,쓰모토 요 지음;임종한 옮김,매일경제신문사,https://bookthumb-phinf.pstatic.net/cover/002/042/00204208.jpg?type=m1&udate=20100414,일본 작가의 대하역사소설. 일본 전국시대 66개국을  통일한 제국주의자 오다 노부나가의 일대기를 그렸다.
174005,9788904130429,성숙한 그리스도인의 삶 시리즈 교범,박삼우 지음,생명의 말씀사,,각기 다른 시대에 여러 나라에서 일어났던 성체의 기적들을 모은 것으로 역사적으로 믿을 만한 기록이다.
174006,9788970770291,(고감도 서스펜스)여탐정 워쇼스키,사라 파레츠키 지음;한양심 옮김,문학관,,미국 여류작가의 탐정소설. 신탁은행의 전무에게 아들의 연인을 찾아달라는 의뢰를 받은 여탐정 빅은 뜻밖 에도 그의 아들의 시체를 발견하게 되는데...
174007,9788936907709,희고 긴 복도,川田彌一郞 지음;홍영의 옮김,대원사,https://bookthumb-phinf.pstatic.net/cover/000/043/00004309.jpg?type=m1&udate=20070210,현역 복부 외과 전문의가 추적하는 의학 추리 소설. 의료 사고로 인해 곤경에 처한 주인공인 마취의사 구보시마는 자신의 결백을 밝히기 위해 노력하는 과정에서 그것을 둘러싸고 병원측의 이권 개입과 부딪히게 된다. 그러나 그에 굴하지 않고 끈질기게 범인을 색출해 가는 구보시마의 추적 과정을 통해 추리... 
174008,9788972973188,아리랑 그후...김산과 님 웨일즈,이회성;윤해동 외옮김,동녘,https://bookthumb-phinf.pstatic.net/cover/000/323/00032344.jpg?type=m1&udate=20150325,"격동의 33년을 살다간 조선인 혁명가 긴 산, 그와 운 명적으로 만나 &lt;&lt;아리랑&gt;&gt;을 함께 집필했던 여기자 님웨일즈 두 사람의 파란만장한 삶을 담았다."
174009,9788912121600,한국사람 다치하라 세이슈,다카이 유이치 저;오석윤 옮김,고려원,https://bookthumb-phinf.pstatic.net/cover/013/285/01328526.jpg?type=m1&udate=20130704,한국인 김윤구로 태어나 일본의 대문호로 불리는 또  하나의 이름 다치하라 세이슈. 일본인이 되기까지 감 추고 왜곡해야 했던 애증의 세월을 조망한 일본작가  의 평전.
174010,9788971910757,(圖說)비즈니스 영어회화:'3분 마스터' 장르별 영어 회화 사례,생활영어연구회 편저,소학사,,삽화를 통해 설명한 비즈니스 영어회화 교재.
174011,9788977730045,刺客 홍종우,아오야기 미도리 지음;김심온 [옮김],앞선책,,"김옥균을 살해한 홍종우의 평가를 재조명, 조선 말기 사회를 새롭게 파헤친 역사실록."
