id,isbn,title,author,publisher,image_url,content
111001,9788955821550,여름이의 개울 관찰 일기 :도시 하천에 사는 새들 ,신동경 글 ;김재환 그림,길벗어린이,http://image.aladin.co.kr/product/1186/42/cover/8955821557_1.jpg,"의정부의 부용천에서 살아가는 다양한 여름 철새들의 생태를 소개하는 책이다. 도시 한가운데, 조금은 지저분해보이는 부용천은 주인공 여름이가 가장 좋아하는 장소다. 다양한 새들을 만날 수 있는 공간이기 때문이다. 여름이는 자신이 좋아하는 새들을 꼼꼼히 관찰하여 일기로 기록했다."
111002,9788994075303,장영실 ,김경옥 글 ;조숙은 그림,아리샘주니어,http://image.aladin.co.kr/product/857/96/cover/8994075305_3.jpg,아리샘주니어의 역사 인물이야기 ‘피플채널’ 시리즈 7권. 우리나라 최고 과학자 중 한 명으로 일컬어지는 장영실. 어린이들의 이해를 돕는 적절한 에피소드를 넣어 장영실이 노비의 신분에서 조선 최고의 발명가가 되기까지의 과정을 생생하게 담고 있다. 또한 장영실이라는 인물을 통해 세종대왕 시대에 이룩한 과학 업적을 함께 살펴본다.
111003,9788955821475,찾았다! ,문승연 글·그림,길벗어린이,http://image.aladin.co.kr/product/1381/18/cover/8955821476_1.jpg,둥둥아기그림책 시리즈 4권. 그림책 속의 주인공들과 함께 신나게 숨바꼭질을 하는 그림책이다. 아이들은 고양이와 나비 두 친구의 놀이를 즐겁게 지켜볼 수 있을 뿐만 아니라 스스로 그 놀이에 끼어들 수 있다. 아이와 함께 이 책을 읽으면서 숨바꼭질 놀이의 즐거움을 느낄 수 있을 것이다.
111004,9788994075341,세종대왕 ,박혜숙 글 ;정광필 그림,아리샘주니어,http://image.aladin.co.kr/product/889/55/cover/8994075348_1.jpg,"아리샘주니어의 역사 인물이야기 ‘피플채널’ 시리즈 아홉 번째 권인 세종대왕에는 신생 국가인 조선을 안정시키려는 세종대왕의 여러 가지 지혜가 실려 있어요. 세상이 천대하는 노비로 태어난 장영실의 소질을 살려서 여러 가지 과학 발명품을 만들게 한 일, 극심한 가뭄에 굶주리는 백성들의 고통을 헤아린... "
111005,9788965460336,세상을 바꾼 아이 ,글: 앤디 앤드루스 ;옮김: 김서정,밝은미래,https://bookthumb-phinf.pstatic.net/cover/066/085/06608521.jpg?type=m1&udate=20170318,밝은미래 이야기 그림책 시리즈 7권. &lt;폰더 씨의 위대한 하루&gt;의 작가 앤디 앤드루스가 어린이들을 위해 펴낸 첫 번째 그림 동화. ‘나비 효과 이론’을 바탕으로 4명의 위대한 인물 이야기를 교묘하게 엮어 낸 이 책은 우리가 무엇을 하든지 아주 작은 행동이 세상을 바꿀 수 있다는 진실을 알려 준다.
111006,9788972216919,판다 10마리 ,이와고 히데코 글 ;유문조 옮김,진선출판사,http://image.aladin.co.kr/product/1121/37/cover/8972216917_1.jpg,"귀여운 표정과 엉뚱한 행동의 판다 이야기로 수 개념을 배울 수 있는 수놀이 그림책.  ‘나무에 매달린 판다 한 마리, 풀밭에서 뒹굴거리는 판다 두 마리’ 등 ‘하나, 둘, 셋, 1, 2, 3’ 수 개념을 배우고 책장을 넘길 때마다 한 마리씩 늘어나는 판다를 보며 자연스럽게 수의 증가와 감소를 익힐 수 있다."
111007,9788956896946,어디로 갔지? ,문정옥 글 ;박진아 그림,꿈소담이,https://bookthumb-phinf.pstatic.net/cover/066/088/06608821.jpg?type=m1&udate=20120802,저학년 어린이를 위한 인성동화 시리즈 9권. 저학년 어린이들이 바르고 고운 인성을 기를 수 있도록 기획된 시리즈이다. 물건 정리를 제대로 하지 않던 만우가 연극에서 사용할 혹부리 영감의 혹을 집에 두고 오면서 벌어지는 사건을 그리고 있다. 재미있는 이야기를 통해 어린이들이 정리 정돈하는 습관을 기를 수 있게 해 준다.
111008,9788964141861,보험업법 ,이용석 저,두남,http://image.aladin.co.kr/product/1132/47/cover/8964141865_1.jpg,"최신 개정판『보험업법』. 이 책은 대학에서 보험학을 전공하는 학생들과 보험전문인 자격시험을 준비하는 수험생들을 위하여 비교적 보험업버 전반의 규정을 상세하게 기술하였다. 총 14장으로 구성되어 보험일반론 부터 보험관계 단체, 벌칙등 을 설명하고 있다."
111009,9788964142189,(강원진 교수의) 무역실무 문답식 해설 ,강원진 저,두남,http://image.aladin.co.kr/product/1134/55/cover/8964142187_1.jpg,"이 책은 무역을 처음 시작하고자 하는 일반인, 무역관련 공부를 하는 대학생, 그리고 무역업계의 실무자들을 위해 무역실무 수행상 기본적이면서도 전문적으로 꼭 알아야 할 핵심내용 157개에 대한 질문과 답의 형식으로 이루어져 있다. 무역실무를 종합적으로 공부할 수 있는 실무지침서로 활용할 수 있을 것이다."
111010,9788964141922,수출입 시뮬레이션 :Incoterms 2010 적용 ,여성구 지음,두남,http://image.aladin.co.kr/product/1132/48/cover/896414192x_1.jpg,무역에서 사용되는 용어에 익숙해지고 무역에 관한 전반적인 흐름을 이해하기 위한 가장 좋은 방법은 실제 무역을 해보는 것일 것이다. 이 책은 무역 실무에서 괴리감 없이 이를 수행할 수 있도록 시뮬레이션화하여 수출입을 설명한다. 전판에서 새롭게 변화된 부분들을 수용하면서 수출절차와 수입절차로 나누어... 
