id,isbn,title,author,publisher,image_url,content
219001,9780578970134,When Dragons Fly South for the Winter (Hardcover),Judy Sorrels (지은이),Www.Judysorrelsart.com,https://image.aladin.co.kr/product/27806/18/cover/0578970139_2.jpg,"When Dragons Fly South for the Winter is a family friendly children's book that takes you on an adventure with a lovable dragon family. Fly along with them to their sweet, secret, summery spot, as they escape the wintertime brrs and grrs, like shoveling snow, and mittens... "
219002,9781087908366,Whooo Turned Out the Lights (Paperback),Daniel Bertagnolli (지은이),Indy Pub,https://image.aladin.co.kr/product/28007/98/cover/1087908361_2.jpg,Einstein the owl is one of the many animals living in Fungus Wood Forest. Delivering mail to each of them is a time consuming job. Too bad Einstein can't work fast enough before the sun sets because he is afraid of the dark. He must get over his fear of the dark when he... 
219003,9781098083861,Why Fall and Winter (Paperback),Rachel  Portillo (지은이),"Christian Faith Publishing, Inc.",https://image.aladin.co.kr/product/27851/25/cover/1098083865_2.jpg,"Whether you enjoy reading to your children or having your children read to you, allow Jasmine's wiser than her years love of words, rhymes, curiosity, imagination, faith, and her Shih-Tzu (Jasmine's Dog) to spark your own imagination. Her questions and answers intend to help... "
219004,9781664241343,Wild Thing (Paperback),Todd L. Kraft (지은이),WestBow Press,https://image.aladin.co.kr/product/27843/1/cover/1664241345_2.jpg,"A wild and mysterious creature arrived in our old barn. Every animal is upset and the farmer wants the creature gone! The farmer's daughters, Jessie and Josie, must find a way to rid the barn of this frightening creature. They must act swiftly to seal the creatures fate, but... "
219005,9781647024093,Yellow Dog (Paperback),Cindie Hudson (지은이),Rosedog Books,https://image.aladin.co.kr/product/27191/85/cover/1647024099_2.jpg,"Yellow DogBy: Cindie HudsonCindie Hudson began her career as a dental assistant in Kokomo and, over the last few years, started teaching at Ross Medical Education Center. As a part of her teaching course, she talks to her students about the importance of giving back to the... "
219006,9780593432648,"A Pig, a Fox, and a Box (Paperback)",Jonathan Fenske (지은이),Random House Books for Young Readers,https://image.aladin.co.kr/product/26580/5/cover/0593432649_2.jpg,"This Theodore Seuss Geisel Honor winning story about Fox and Pig is laugh-out-loud funny! Now available in Step into Reading, the premier leveled reader line.&#x0D;&#x0D;In the style of Mo Willems, Jonathan Fenske tells three humorous stories of two friends, Fox and Pig, and... "
219007,9780762495221,A Small Kindness (Hardcover),"스테이시 매카널티 (지은이), Wendy Leach (그림)",Running Press Kids,https://bookthumb-phinf.pstatic.net/cover/204/334/20433460.jpg?type=m1&udate=20210625,An impactful picture book with a solid pay-it-forward message to encourage kindness in young children by the award-winning author of Excellent Ed and Sun! One In a Billion.
219008,9780062982797,Always Everly (Hardcover),Nate Wragg (지은이),HarperCollins Publishers Inc,https://bookthumb-phinf.pstatic.net/cover/209/250/20925061.jpg?type=m1&udate=20210912,A little evergreen tree learns that self-acceptance and being yourself never goes out of season in this irresistible picture book that's perfect for fans of Jory John and Pete Oswald's The Cool Bean and Michael Hall's Red.
219009,9781534485297,Angelina Ballerina at Ballet School (Paperback),"Katharine Holabird (지은이), 헬렌 크레이그 (그림)",Simon Spotlight,https://image.aladin.co.kr/product/25548/35/cover/1534485295_2.jpg,Angelina twirls her way back to ballet school and learns to overcome her stumbles in this 8x8 storybook featuring foil on the cover!
219010,9781087880693,Another Fish Story (Hardcover),"Glen F. Welch (지은이), Irina Kostunina (그림)","Dr. G.F. Welch, Illustrated by Irina Kostunin",https://image.aladin.co.kr/product/27709/17/cover/1087880696_2.jpg,"Fish can't talk! Oh, yes we can! Yes, fish can talk and they have attitudes too. Proud of their color, or their size, or their popularity, they live in the pond and are happy to visit with little Dommy - after Papa falls asleep. The fish are as different as people are and... "
219011,9780307995124,Barbie: The Nutcracker (Hardcover),Sue Kassirer (지은이),Golden books,https://image.aladin.co.kr/product/132/45/cover/0307995127_2.jpg,"Barbie stars as Clara in this simple, gorgeously illustrated retelling of the classic ballet. Girls will feel as though they have front-row seats to this Christmas favorite!"
219012,9781956086027,Behind Mogo's Mask (Hardcover),Kim Stevenson (지은이),Kimberly A. Stevenson,https://image.aladin.co.kr/product/27758/87/cover/1956086021_2.jpg,"A ROARingly fun yoga adventure story that teaches empathy and kindness.?Fed up with getting teased about his flat teeth, a hungry young lion named Mogo crafts a scary mask with monstrously sharp teeth. Mogo loves his mask. With one &quot;ROAR!!!&quot; he can take anything and... "
219013,9781635923940,Bicycle: Eureka! the Biography of an Idea (Paperback),"Lori Haskins Houran (지은이), Aaron Cushley (그림)",Kane Press,https://image.aladin.co.kr/product/26580/69/cover/1635923948_2.jpg,"This STEAM non-fiction title is part of the new 'Eureka!' series with each book focusing on one groundbreaking, world-changing discovery that millions of people use every single day."
219014,9780593425275,"Big City, Big Dreams (Barbie) (Paperback)",Random House (지은이),Random House Books for Young Readers,https://image.aladin.co.kr/product/26575/37/cover/0593425278_2.jpg,"A Step into Reading leveled reader based on the Barbie: Big City, Big Dream musical special, premiering fall 2021 on Netflix! &#x0D;Boys and girls age 3-6 will love to read this Step 2 Step into Reading leveled reader based on the brand-new Barbie: Big City, Big Dreams... "
219015,9781919618210,Bigfoot and Burd (Paperback),Andy Elkerton (지은이),Daft Bird Books,https://image.aladin.co.kr/product/27364/5/cover/191961821x_2.jpg,"Bigfoot and Burd both live in the beautiful Wild, Green Wood.   But there's a problem...they REALLY don't get along.   Something has to change before this stubborn pair drive each other CRAZY!.   Maybe an unexpected arrival will change the way they feel about each other?... "
