id,isbn,title,author,publisher,image_url,content
1,9791197144714,3천만원으로 배달음식점 창업하기,백진원 (지은이),출동준비완료,https://image.aladin.co.kr/product/25011/7/cover/e412537838_1.jpg,"배달음식점만 차리면 돈 버는 시대! 진짜일까?  포스트 코로나 시대를 이야기하면서 빠지지 않는 것이 ‘배달’이다. 특히 배달음식점은 하나의 창업 트렌드로 자리 잡고 있는 요즘이다. 전통적인 배달음식인 치킨, 피자, 족발에 이어 다양하고 개성 있는 배달음식들이 등장하는 요즘, 우리는 매일매일 배달 앱을... "
2,9791196678968,숨은 독립 영웅 찾기 - 왜 우리는 유관순만 기억할까,"학교앞문방구 (지은이), 윤지담 (그림), 송영심 (감수)",아해와,https://image.aladin.co.kr/product/26543/23/cover/k852738737_1.jpg,"나라가 일본에 넘어가기 직전인 대한 제국 말기부터, 나라를 빼앗기고 짓밟힌 일제 강점기까지. 몸과 마음을 바쳐 조국을 구하고자 했던 이름 없이 사라진 영웅들이 만들어낸 위대한 이름 대한민국. 그 역사의 발자취를 찾아 나서는 추적탐험기에 함께해 보자."
3,9780358157144,Seven and a Half Lessons about the Brain (Hardcover),리사 펠드먼 배럿 (지은이),Houghton Mifflin,https://image.aladin.co.kr/product/23957/82/cover/0358157145_2.jpg,"FROM THE AUTHOR OF HOW EMOTIONS ARE MADE, A CAPTIVATING COLLECTION OF SHORT ESSAYS ABOUT YOUR BRAIN, IN THE TRADITION OF ASTROPHYSICS FOR PEOPLE IN A HURRY AND SEVEN BRIEF LESSONS ON PHYSICS.HAVE YOU EVER WONDERED WHY YOU HAVE A BRAIN? LET RENOWNED NEUROSCIENTIST LISA... "
4,9780571349371,"The Discomfort of Evening : WINNER OF THE BOOKER INTERNATIONAL PRIZE 2020 (Paperback, Main) - 2020 맨부커 인터내셔널 수상작","Marieke Lucas Rijneveld (지은이), 미셸 허치슨 (옮긴이)",Faber & Faber,https://image.aladin.co.kr/product/25051/98/cover/0571349374_2.jpg,*WINNER OF THE BOOKER INTERNATIONAL PRIZE 2020*&#x0D;&#x0D;'One of the best debut novels I have ever read. Shockingly good ... A classic.' Max Porter&#x0D;&#x0D;The sensational Dutch bestseller:&#x0D;'Exceptional' (Financial Times)&#x0D;'Exhilarating' (Independent)&#x0D;... 
5,9780008319281,Boy Swallows Universe (Paperback),Trent Dalton (지은이),HarperCollins Publishers,https://bookthumb-phinf.pstatic.net/cover/179/339/17933904.jpg?type=m1&udate=20210215,'ELECTRIC'            THE TIMES                        'THRILLING'            NEW YORK TIMES                        'EXTRAORDINARY'            JOANNA CANNON                                THE INTERNATIONAL BESTSELLER
6,8809447281216,[세이펜 버전] 아서 어드벤처 원서 21종 세트 (세이펜 미포함) (Paperback 21권 + MP3 CD 3장) - Arthur Adventure,마크 브라운 (지은이),Little Brown and Company,https://image.aladin.co.kr/product/21433/98/cover/f48263609d_1.jpg,"『ARTHUR ADVENTURE(아서 어드벤쳐) 세트』는 미국의 유명한 동화작가 마크 브라운의 작품으로 전세계 수많은 아이들에게 오랜 기간 꾸준히 사랑받고 있는 스테디셀러 입니다. 초등학생인 아서와 친구들이 겪는 일상의 이야기, 친구와의 갈등이나 개인적인 고민 등 우리가 자라면서 겪어봤을 법한 이야기를... "
7,8809447281476,Arthur Readers 아서 리더스북 Level3 15종 세트 (Paperback + Audio CD + 오디오북 + 쓰기활동북 + 캐릭터미니어처) : 세이펜 기능 내장,마크 브라운 (지은이),Penguin Random House Group,https://image.aladin.co.kr/product/15268/64/cover/f062533926_1.jpg,우리 아이의 자연스러운 말하기 습관을 길러주는 [아서 리더스북]. 어휘력과 말하기 실력을 함께 키워준다. 아이들이 평소 &quot;이런 표현은 영어로 어떻게 할까? 하고 생각하는 생활 영어 표현이 가득하다. 세이펜 기능을 통해 800개 이상의 단어를 그림으로 재미있게 배워보자!
8,9791189612917,헷갈리기 쉬운 초등 필수 어휘 따라 쓰기,전기현 (지은이),북스고,https://image.aladin.co.kr/product/26550/1/cover/k402738835_1.jpg,"‘맞춤법과 발음이 달라 헷갈리기 쉬운 어휘’, ‘뜻이 전혀 다르지만 맞춤법이 비슷해 자주 틀리는 어휘’를 반복적으로 익히며 탄탄한 어휘력과 공부의 바탕이 되는 독해력을 키울 수 있도록 하였다."
9,9781448163106,Balzac and the Little Chinese Seamstress,Dai Sijie,RandomHouse,https://bookthumb-phinf.pstatic.net/cover/154/777/15477760.jpg?type=m1&udate=20191001,"1971: Mao's cultural Revolution is at its peak. Two sons of doctors, sent to 're-education' camps, forced to carry buckets of excrement up and down mountain paths, have only their sense of humour to keep them going. Although the attractive daughter of the local tailor also... "
10,9791164062003,기적의 독서 논술 3학년 세트 - 전2권 - 읽기로 시작해서 쓰기로 완성한다,기적학습연구소 (지은이),길벗스쿨,https://image.aladin.co.kr/product/23096/64/cover/k142637693_2.jpg,"실질적인 독서교육의 시작점에 놓인 초등 3학년을 위한 단계이다. 스스로 책 읽기 독립을 이룬 학령이긴 하지만 부모님이 같이 읽어 주고, 대화를 통해 함께 생각을 나누는 방식으로 독서교육을 진행한다면 더 극적인 효과를 얻을 수 있을 것이다."
11,9791165214838,2021 시나공 정보처리기사 실기 - 무료 동영상 강의 + 2020년 최신 기출문제집 + 기억상자,"길벗 R&D, 강윤석, 김용갑, 김우경, 김정준 (지은이)",길벗,https://image.aladin.co.kr/product/26538/59/cover/k012738731_1.jpg,NCS 학습 모듈을 가이드 삼아 실무에서 방대하게 다뤄지는 내용들을 압축하여 최대한 쉽게 수록했다. 예제나 문제는 간단해 보이지만 원론을 이해하기 쉽도록 간략하게 구성한 것으로 교재의 내용만 이해하면 어떠한 변형 문제도 풀 수 있을 것이다.
12,9791165214739,프리미어 프로 & 애프터 이펙트 CC 2021 무작정 따라하기,"신의철, 이현석, 김나현 (지은이)",길벗,https://image.aladin.co.kr/product/26556/45/cover/k562738930_1.jpg,"사용자가 가장 쉽고, 빠르게 프리미어 프로와 애프터 이펙트를 배울 수 있도록 기본 이론과 따라하기 예제를 연계하여 구성하였다. 특히 새로운 버전에서는 어도비 인공지능 기능이 탑재되어 영상을 자동 분석하여 편집할 수 있는 기능 등 쉽고 간단하게 영상 편집 작업이 가능하게 되었다."
13,9780525610182,"Growing Young: How Friendship, Optimism, and Kindness Can Help You Live to 100 (Paperback) - '건강하게 나이 든다는 것' 원서",마르타 자라스카 (지은이),Appetite by Random House                ,https://image.aladin.co.kr/product/20412/20/cover/0525610189_2.jpg,"건강하게 오래 살려면 무엇을 신경 써야 할까? 이 질문에 미국인의 56퍼센트는 운동, 26퍼센트는 올바른 식습관이라고 답했다. 최상의 운동법, 건강 식단, 기적의 영양제까지, 과연 이것이 노화와 질병 없는 행복한 노년을 보장해줄까? &#x0D;&#x0D;2016년 [사이언스] ‘올해의 과학책’에 선정된 『고기를 끊지... "
14,9791170440598,오싹한 경고장 (큰글자도서),"정명섭, 문화류씨, 김동식, 김선민 (지은이), 박은미 (그림)",소원나무,https://image.aladin.co.kr/product/25961/23/cover/k702737121_1.jpg,"소원잼잼장르 1권. 도시에서 일어나는 기묘한 사건들을 다룬 도시괴담 단편집이다. 아이들은 자신의 욕망을 채우기 위해 경고를 무시하고, 경고를 무시한 대가로 섬뜩한 사건들을 마주하게 된다. 오싹한 사건의 배후에 있는 ‘그것’들의 정체는 무엇일까?"
15,9784871870962,Mr. Popper's Penguins (Paperback),Richard Atwood (지은이),Ishi Press,https://image.aladin.co.kr/product/24054/31/cover/4871870960_2.jpg,Mr. Popper's Penguins is a classic childrens work published in 1938. Mr. Popper is a poor man who works as a house painter living with his wife and two children (Bill and Janie) in the small town of Stillwater Minnesota. He is very interested in the explorations and... 
16,9791185098401,십자가에서 - 예수님을 만났던 사람들이 본 십자가의 의미,"리처드 보컴, 트레버 하트 (지은이), 김동규 (옮긴이)",터치북스,https://image.aladin.co.kr/product/26550/1/cover/k492738835_1.jpg,"오늘 하루를 십자가 앞에서 살고 싶은 이들이 읽어야 할 경건서, 세상에서 가장 길었던 한 주, 세상을 바꾼 한 주를 경험하고 싶은 이들을 위한 묵상집, 그리스도의 고난과 십자가를 깊이 알고 싶은 이들을 위한 신학 묵상집이다."
17,9780613863384,Anastasia Krupnik (),"로이스 로리, Gerardo Amechazurra, Flora Casas (지은이)",Bt Bound,,"[해외주문원서] 고객님의 요청으로 수입 주문하는 도서이므로, 주문취소 및 반품이 불가합니다. (단, 재고부족인 경우는 가능)"
18,9788970279862,"빌립보서,죽는것도 사는것도",하정완 (지은이),나눔사,https://image.aladin.co.kr/product/21504/60/cover/8970279865_1.jpg,하정완 목사와 성경읽기 시리즈 15권. 옥중서신으로 바울이 누린 기쁨과 행복의 비밀을 잘 적고 있는 책이다. 더욱이 빌립보교회와의 깊은 사랑의 관계를 통해 교회가 이 세상의 하나님 나라가 되는 방법을 배울 수 있다.
19,9791197193330,"1학년 3반 종례신문 - 세상과 부딪치며 ‘나’를 만들어갈, 10대들을 위한 선생님의 작은 위로",기라성 (지은이),덤보,https://image.aladin.co.kr/product/26567/11/cover/k812738034_1.jpg,"아이들과 함께했던 지난 8년, 일상의 소중함을 전해주고자 써 내려간 ‘학급 종례신문’을 책으로 엮었다. 평범하지만 누구보다 학생들을 사랑하고 편안한 친구이자 의지할 수 있는 어른으로 남고픈 대한민국 교사가 아이들에게 보내는 작은 위로와 지지의 편지이다."
20,9781409366584,Baby Touch and Feel Mealtime (Board Book),DK 백과사전 편집위원회 (지은이),Dorling Kindersley,https://image.aladin.co.kr/product/1949/45/cover/1409366588_1.jpg,"INTRODUCES YOUR BABY TO MEALTIMES WITH TOUCH AND FEEL TEXTURES. THIS BOOK LETS THEM TOUCH AND LEARN ABOUT THE SHINY APPLE, A BOILED EGG IN A SPARKLY EGG CUP AND WATCH OUT; STICKY JAM ON TOAST. IT IS SUITABLE FOR ENCOURAGING TINY FINGERS TO EXPLORE AND YOUNG MINDS TO DEVELOP."
21,9791188314713,유저 리서치 - UX를 위한 사용자 조사의 모든 것,"스테파니 마시 (지은이), 서예리 (옮긴이), 유엑스리뷰 리서치랩 (감수)",유엑스리뷰,https://image.aladin.co.kr/product/26431/40/cover/k562738629_1.jpg,"사용성 테스트, 카드 소팅, 설문 조사, A/B 테스트 등 실무에서 가장 많이 쓰이는 12가지 핵심 리서치 방법론들을 총망라해서 다룬다. 또 방법론별로 존재하는 미묘한 차이, 각 접근법의 장단점, 그리고 오랜 실무 경험에서 나온 인사이트를 담은 각종 팁들을 풍부하게 제공한다."
22,9791136264435,심야식당 23,"아베 야로 (지은이), 장지연 (옮긴이)",미우(대원씨아이),https://image.aladin.co.kr/product/26556/54/cover/k182738931_1.jpg,"밤 12시에 문을 여는 도심 한구석의 작은 밥집 「심야식당」. 메뉴라고는 돼지 고깃국 정식과 술 정도가 전부이지만, 손님이 원하는 음식은 재료만 있으면 만들 수 있는 한 만들어 준다. 얼굴에 칼자국이 있는 수상한 마스터가 있는 초라한 이곳을 찾는 손님은 대부분 안 팔리는 가수나 만년 패배만 하는 복서, 야쿠자 등 빛 보다는 어둠이 더 잘 어울릴 법한 사람들이다."
23,9791190067409,서른의 규칙 - 서른이지만 열일곱입니다,수정 (지은이),센세이션,https://image.aladin.co.kr/product/26542/29/cover/k002738737_1.jpg,"저자는 살면서 한 번도 드러낸 적 없었던 자신의 아픈 상처를 말한다. 상처는 트라우마가 되었고, 트라우마는 저자를 불행하게 했다. 상처와 트라우마는 외면하고, 자존감과 행복만을 찾아 헤맸던 것이, 아무리 많은 좋은 책을 읽어도, 명강사의 강의를 들어도 본질적인 회복과 치유를 이룰 수 없었던 이유였다는 것을 마침내 깨달았다고 한다."
24,9791190351607,낭송 춘향전 (큰글자책),"길진숙, 이기원 (옮긴이)",북드라망,https://image.aladin.co.kr/product/26543/55/cover/k582738838_1.jpg,“낭송Q 큰글자책 시리즈” 판소리편의 첫번째 책. 그동안 우리는 이 말들은 지워버리고 줄거리만 취해온 셈. 하여 『춘향전』에서 잃어버린 말과 소리를 다시 찾는 것이 『낭송 춘향전』의 목표다.
25,9791197156403,바다의 노래,정현태 (지은이),궁편책,https://image.aladin.co.kr/product/26413/60/cover/k912738424_1.jpg,"정치인 출신 시인이 내는 시집으로, 시인 정현태의 데뷔작이다. '운명의 바다', '생명의 바다', '은혜의 바다', '유배의 바다', '평화의 바다'로 구성된 시집에서 바다는 단연 책의 중심을 관통하는 시적 공간이다."
26,9791191018059,"사생활들 - 일상을 이루는 행동, 생각, 기억의 모음",김설 (지은이),꿈꾸는인생,https://image.aladin.co.kr/product/26602/68/cover/k712739018_1.jpg,"'들시리즈'는 한 사람이 책 한 권 분량을 꽉 채워 말할 수 있는 무언가에 대한 에세이이다. &lt;사생활들&gt;은 들시리즈의 첫 번째 책으로, 작가의 일상을 채우고 있는 작은 기쁨들에 대한 이야기이다."
