id,isbn,title,author,publisher,image_url,content
66001,9788984017368,(노경실 선생님이 들려주는) 사회 재난 안전 ,글: 노경실 ;그림: 조아영,영림카디널,https://image.aladin.co.kr/product/25838/35/cover/8984017361_1.jpg,‘학교 안전 교육 7대 표준안’에 따른 어린이 안전 동화 시리즈. 약물 위험 및 술과 담배의 위험성 그리고 스마트폰과 인터넷 사용 안전 등 일상 속에서 일어나는 약물과 사이버 중독의 위험성에 대해 이야기하고 있다.
66002,9791158711603,컬러 몬스터 컬러링북 ,안나 예나스 글·그림 ;김유경 옮김,청어람아이,https://image.aladin.co.kr/product/25818/93/cover/k302736430_1.jpg,"『컬러 몬스터: 감정의 색깔』에서 컬러 몬스터와 배운 다섯 가지 감정들의 색깔인 기쁨-노랑, 슬픔-파랑, 화-빨강, 무서움-검정, 평온함-초록을 응용한 컬러링북이다. 장면마다 문장과 컬러 몬스터의 표정에서 감정에 대한 힌트를 발견하고 알록달록 예쁘게 색을 더해보자."
66003,9791156752868,소문의 주인공 ,미나 뤼스타 지음 ;손화수 옮김,푸른숲,https://image.aladin.co.kr/product/25816/44/cover/k952736438_1.jpg,"학교 신문사의 기자인 주인공이 누군가에 의해 만들어진 거짓 소문의 희생양이 되면서 벌어지는 일들을 담고 있다. 누구 하나 책임을 피할 수 없는 얽히고설킨 이야기를 통해, 소문과 가짜 뉴스에 무감각해진 우리의 일상을 함께 돌아볼 수 있는 작품이다."
66004,9788961707985,거인들이 사는 나라 :신형건 시집 ,신형건 시 ;안예리 그림,푸른책들,https://image.aladin.co.kr/product/25643/94/cover/8961707981_1.jpg,"“얼른 어른이 되고 싶은 아이들과 다시 아이가 되고 싶은 어른들에게.”  교과서에 9편의 시가 실린, 아이들에겐 이미 친숙한 신형건 시인의 첫 시집이자 대표 시집 『거인들이 사는 나라』 출간 30주년 기념 특별판이다."
66005,9791163930426,꿀 한 방울이 똑! ,이오름 지음,한울림,https://image.aladin.co.kr/product/25851/53/cover/k732737264_1.jpg,"꽃을 찾아 이리저리 날아다니던 꿀벌들이 숲속에 쓰러져 있는 아기 반달곰을 발견한다. 꿀벌들 덕분에 기운을 차린 아기 반달곰. 그러던 어느 날, 아기 반달곰이 실컷 먹고 나무 아래서 편하게 누워 있는데 벌집에서 꿀 한 방울이 똑! 떨어지는데…."
66006,9791191438024,호랑이를 덫에 가두면 :태 켈러 장편소설 ,지은이: 태 켈러 ;옮긴이: 강나은,돌베개,https://image.aladin.co.kr/product/26964/42/cover/k152730414_1.jpg,"2021년 뉴베리상 대상 수상작!한국계 작가 태 켈러 아동문학의 노벨상 ‘뉴베리상’ 수상!「해님 달님」, 마법 호랑이, 강인한 한국 여성들의 이야기“할머니, 이야기 하나 해 주세요.”할머니는 웃음을 머금고 깊은 숨을 한 번 쉰 다음, 한국식 “옛날 옛날에”로 이야기를 시작했다.“옛날 옛날에, 호랑이가... "
66007,9791162157121,(7일완성) 요점상식 1000제 :기업체/언론사/공사·공단/금융권 취업 대비 ,지은이: [시스컴] 시사상식위원회,시스컴 출판사,https://bookthumb-phinf.pstatic.net/cover/178/527/17852784.jpg?type=m1&udate=20210201,기업체/언론사/공사ㆍ공단 취업 대비-단기간에 완성하는 알짜배기 시사항식-핵심만 공략한 여러 유형의 기출ㆍ예상문제 수록-출제 빈도 높은 1000제로 합격률 UP UP!
66008,9791137234024,"상식의 노크, 콕 :신년의 두드림 ",저자: 콕 COC,부크크,https://bookthumb-phinf.pstatic.net/cover/180/047/18004753.jpg?type=m1&udate=20210326,"[당신의 상식을 사정없이 두드립니다.]'벼락거지' 2020년 신조어 벼락거지는 그 어감부터 비상식적입니다. 마른 하늘에 날벼락과 같이 '상승하는 자산'을 소유하지 못했다는 이유 하나만으로 벼락거지가 되었다는 뜻입니다. 아이러니 합니다. 벼락부자와 벼락거지 사이에는 무엇이 있을까요?상실감, 무력함... "
66009,9791162157107,바리스타 자격시험 기본서 :1급 ,지은이: 타임 NCS 바리스타연구소,시스컴 출판사,https://image.aladin.co.kr/product/26198/80/cover/k822738188_1.jpg,"상세한 이론 + 객관식 문제 + 용어정리의 탄탄한 구성이다. 다양한 협회에서 시행하는 필기시험을 완벽 대비한다. 실전모의고사 2회분을 수록하였으며, 시험 직전에 주요 용어정리로 마무리할 수 있도록 하였다."
66010,9791191109177,(2019 개정 누리과정에 맞춘) 유아교사를 위한 쉬운 반주곡집,이민경 저,어가,https://bookthumb-phinf.pstatic.net/cover/180/591/18059142.jpg?type=m1&udate=20210304,흔히 피아노는 전문적인 것이며 오랜 시간과 노력을 해야 한다고 많이들 생각합니다. 그 말이 틀린 것은 아닙니다. 하지만 이 책은 누구나 좀 더 쉽고 편하게 반주할 수 있도록 기초 이론과 반주법으로 유아교육과정에서 꼭 필요한 노래들로 구성하였습니다.유아들은 다양한 화음과 기교가 들어간 우리가 흔히... 
66011,9791158666156,한국의 동물상징 ,"이강한,김성혜 지음",한국학중앙연구원출판부,https://image.aladin.co.kr/product/26172/10/cover/k282737357_1.jpg,"한국의 긴 역사와 문화 속에서 동물이 어떻게 표현되고 묘사돼왔는지를 살폈다. 역사, 철학, 고고학, 건축 등 각 분야의 학자들이 고대, 고려·조선, 근·현대의 동물 문양과 동물 조형 사례를 수집·분석하였다."
