id,isbn,title,author,publisher,image_url,content
30001,9791127444280,액션 캐릭터 일러스트 그리기 - 생동감 넘치는 액션 라인 테크닉,"나카츠카 마코토 (지은이), 김재훈 (옮긴이)",AK(에이케이)커뮤니케이션즈,https://image.aladin.co.kr/product/27109/58/cover/k022731140_1.jpg,액션라인을 중심으로 그림을 구성하면 보는 사람이 움직인다고 착각하도록 움직임의 흐름이 느껴지게 표현할 수 있다. 액션라인을 이용하여 생동감 있는 액션 캐릭터를 그릴 수 있는 테크닉을 모두 공개한다.
30002,9791196802585,코로나 젠장 - 서종면에 사는 어린이들이 들려주는 작은 이야기,"2020년 서종초등학교 3, 4학년 (지은이)",서종초사회적협동조합말꽃,https://image.aladin.co.kr/product/27105/70/cover/k972731045_1.jpg,서종초등학교는 경기 양평군 서종면 무너미 마을에 있다. 북한강가에 있는 작고 아름다운 곳에서 어린이들은 동무들과 어울려 재미있게 살아가고 있다. 월요일 아침이면 둥그렇게 둘러앉아 이야기를 나눈다. 그때 나온 글감으로 매년 글을 쓴다.
30003,9791196802578,숙제가 세상에서 제일 싫다 - 서종면에 사는 어린이들이 들려주는 작은 이야기,"2020년 서종초등학교 1, 2학년 (지은이)",서종초사회적협동조합말꽃,https://image.aladin.co.kr/product/27105/69/cover/k732731044_1.jpg,"어린이 노래 말꽃 6권. 2020년 서종초등학교 1, 2학년 아이들이 1년동안 쓴 시를 모아 시집으로 발행했다. 서종초등학교는 경기 양평군 서종면 무너미 마을에 있다. 북한강가에 있는 작고 아름다운 곳에서 어린이들은 동무들과 어울려 재미있게 살아가고 있다."
30004,9788955866629,김구 읽기,문중섭 (지은이),세창출판사(세창미디어),https://image.aladin.co.kr/product/27081/26/cover/8955866623_1.jpg,"세창사상가산책 20권. 백범 김구는 한국민족운동의 상징이다. 그의 삶은 민족의 독립과 통일을 위한 헌신으로 점철되었다. 그의 삶은 위대하고, 그의 사상은 숭고하다. 독립운동가이자 정치지도자로서 평생을 조국에 헌신한 백범 김구의 정신을 되새겨 보자."
30005,9791191334142,타인의 성장 - 리더는 최고성장책임자다,김종철 (지은이),클라우드나인,https://image.aladin.co.kr/product/27080/98/cover/k842731586_1.jpg,현직 코치가 코칭 리더십이란 무엇이고 지금과 같은 대전환기에 왜 필요하고 또 어떻게 해야 하는지를 다루고 있다. 왜 코칭 리더십이 필요한가? 그건 오늘날과 같은 변화무쌍한 시대에서는 리더가 과거와 같이 구성원들에게 지시와 명령을 하는 것이 아니라 스스로 변화하도록 이끌고 자발적으로 자기 일에 참여하고 몰입하게 만들어야 하기 때문이다.
30006,9791161981284,2021 최신판 위포트 한국전력공사 KEPCO 직무능력검사 NCS 실전 봉투 모의고사 - 사무.전기.ICT 및 기술 분야 대비,위포트 연구소 (지은이),위포트,https://image.aladin.co.kr/product/26621/39/cover/k892739134_1.jpg,"한국전력공사 채용 대비를 위한 수험/학습서다. 한국전력공사 필기시험을 완벽하게 대비할 수 있도록 최신 출제 유형 및 난이도를 반영한 NCS 모의고사 5회분을 제공하며, 한국전력공사 최신 출제 경향 대비를 위해 2020년 상반기 및 하반기 한국전력공사 기출 변형 문항을 수록하였다."
30007,9781471189210,Supertato: Bubbly Troubly (Paperback),SUE  HENDRA (지은이),SIMON & SCHUSTER PB,https://image.aladin.co.kr/product/19438/0/cover/147118921x_1.jpg,"The brand new adventure in the bestselling, blockbuster Supertato series, from Sue Hendra and Paul Linnet! Perfect for even the most reluctant of bathers - and, of course, Supertato fans EVERYWHERE!&#x0D;&#x0D;It is night-time in the supermarket, and it’s the veggies’... "
30008,9791196778521,황제의 딸 : 뒤바뀐 운명 1,"경요 (지은이), 이혜라 (옮긴이)",도서출판 홍,https://image.aladin.co.kr/product/21441/5/cover/e272536796_4.jpg,"대만의 저명한 작가 경요의 대표작이다. 출신 배경이 서로 다른 두 소녀의 남다른 우애로 시작되어, 이야기가 전개되는 동안에는 아버지인 건륭과 자녀들 사이의 사랑과 갈등이 커다란 비중을 차지한다."
30009,9791191472011,소년의 일기,곽동주 (지은이),메이킹북스,https://image.aladin.co.kr/product/26556/39/cover/k712738939_1.jpg,"한때 소년, 소녀였던 그들을 위한 감성코미디웹툰. 이젠 어른이 되어버린 8090세대, “소년”,“소녀”였던 어른들에게 이 책을 바친다."
30010,9791165098896,만화 사내 맞선 4,"NARAK (지은이), 해화 (원작), 들깨 (각색)",연담,https://image.aladin.co.kr/product/26700/28/cover/k762730984_1.jpg,"하리에게만 보여주는 태무의 모습은 정말 복수를 위한 것일까? 일상에 자연스럽게 스며든 태무가 무서우면서도, 두근거리기 시작하는 하리. 좋아한다 말하고 싶지만 거짓말로 쌓아온 관계에 태무가 실망할 것이 두렵기만 한데…."
