id,isbn,title,author,publisher,image_url,content,genre_detail_dict_id
7001,9791129463562,79만원으로 세계일주 ,권용인 지음,Rok Media(로크미디어),http://image.aladin.co.kr/product/14019/93/cover/k042532937_1.jpg,솔직하고 유쾌하게 저자의 1948일간의 기나긴 세계일주를 담아냈다. 그가 여행에서 겪은 일과 여행길에서 만난 사람들과의 이야기를 통해 온전한 자신으로 성장해나가는 성장기록이기도 하다.,124
7002,9791157061211,(중국을 빚어낸) 여섯 도읍지 이야기 ,이유진 지음,메디치미디어,http://image.aladin.co.kr/product/14310/82/cover/k772532745_1.jpg,"중국사와 '공간'이 만난 국내 최초의 중국 도읍지 이야기다. 천년 고도 시안에서 시작해, &lt;삼국지연의&gt; 낙양으로 잘 알려진 뤄양, 송나라의 카이펑, 소동파의 고장 항저우, 근현대사 비극을 간직한 난징에서 베이징까지, 이 한 권에 중국 3천 년 역사 전체를 품었다.",27
7003,9791162203651,대당 제국 쇠망사 :권력 쟁탈로 몰락한 번영의 시대 ,자오이 지음 ;이지은 옮김,위즈덤하우스 미디어그룹,http://image.aladin.co.kr/product/13518/58/cover/k382532042_1.jpg,"290년 영광의 역사 뒤에 숨은 당나라의 암흑기를 읽는다. 9세기 당나라의 암흑기를 구체적으로 서술하면서, 대제국 당나라의 몰락 과정을 통해 '부강'이 아닌 '멸망'에서 현 시대의 위기를 찾아본다.",27
7004,9791187400233,우리가 몰랐던 홍콩의 4분의 3 ,류커샹 지음 ;남혜선 옮김,책비,http://image.aladin.co.kr/product/14411/15/cover/k862532042_1.jpg,저자 류커상은 대만의 '국민 작가'라 불릴 만큼 독자들의 사랑을 받는 유명 저자이다. 세계를 여행하며 신비로운 동식물의 생태를 소개하는 그는 홍콩의 색다른 매력에 빠져 세계인들에게 이 아름다운 자연을 밀도 있게 보여주고자 이 책을 썼다.,172
7005,9791157061198,뜻밖에 미얀마 :머물고 싶은 황금의 나라 ,글·사진: 조용경,메디치,http://image.aladin.co.kr/product/14310/79/cover/k692532745_1.jpg,"전 포스코 엔지니어링 대표이사 조용경의 미얀마 여행기. 저자가 발견한 흥미로운 미얀마 역사에서부터, 문화, 정치에 이르기까지 ‘미얀마의 거의 모든 것’을 담았다. 또한, 미얀마의 생생한 모습을 보여주기 위해 수천 장의 사진 중에 137장의 사진을 엄선했다.",4
7006,9788934981497,"조선전쟁실록 :전쟁이 바꾼 조선, 조선이 바꾼 세계 ",박영규 지음,김영사,http://image.aladin.co.kr/product/13176/79/cover/8934981490_1.jpg,"역사 대중화를 이끈 실록사가 박영규가 완성한 조선 전쟁사의 모든 것. 위태로운 동아시아 삼국 관계부터 조중일 삼국의 무기 체계에 이르기까지, 500년 조선사를 정치.외교.군사.기술의 측면에서 다각도로 분석한 책이다. 조선이 남긴 오래된 미래가 지금, 여기, 우리 앞에 펼쳐진다.",37
7007,9788962463484,영산강유역 고대사회의 형성과정 연구 ,최성락 지음,주류성,http://image.aladin.co.kr/product/14435/0/cover/8962463482_1.jpg,"영산강유역 선사문화의 양상을 간략히 정리하였고, 철기문화를 바탕으로 하는 마한 사회의 성격을 살펴보았으며, 고분을 중심으로 당시 사회가 백제로 편입되는 과정을 검토해 보았다.",91
7008,9788952119001,선사시대 사회들의 과거 인식 ,리처드 브래들리 지음 ;고일홍 옮김,서울대학교출판문화원,https://image.aladin.co.kr/product/14528/79/cover/8952119002_1.jpg,"문명텍스트 37권. '과거 인식' 연구 분야의 교과서이자 고전으로 평가받고 있는 &lt;The Past in Prehistoric Societies&gt;의 번역서. 원서에 대한 충실한 번역과 함께, 원서가 고고학 연구에서 가지는 위상과 의의, 한국 인문학 및 고고학에 대해 갖는 함의 등을 포괄한 옮긴이의 해제와 주석을 수록하였다.",91
7009,9788990629449,잃어버린 문명을 찾아서 :태평양에 가라앉은 환상의 대제국 무 대륙 ,제임스 처치워드 지음 ;박별 옮김,뜻이있는사람들,http://image.aladin.co.kr/product/14330/71/cover/8990629446_1.jpg,"우리가 알지 못했던 15.000년 전에 태평양에 가라앉은 무(Mu) 대륙의 실체를 밝히는 책이다. '사라진 에덴의 동산', '빛나는 태양의 제국', '무 대륙의 대침몰', '태평양에 잠든 무의 유적', '인류 최초의 종교', '아틀란티스 대륙과 지중해' 등 총 10부로 구성되었다.",144
7010,9791155167786,항한필휴 ,사카다 모로토 지음 ;이효정 옮김,보고사,https://image.aladin.co.kr/product/14550/12/cover/k712532545_1.jpg,이 책은 수신사기록 번역에 대해 다룬 책입니다.,37
7011,9791155167793,사화기략 ,박영효 지음 ;이효정 옮김,보고사,https://image.aladin.co.kr/product/14550/23/cover/k852532545_1.jpg,이 책은 수신사기록 번역에 대해 다룬 책입니다.,37
