id,isbn,title,author,publisher,image_url,content,genre_detail_dict_id
1,9791188314713,유저 리서치 - UX를 위한 사용자 조사의 모든 것,"스테파니 마시 (지은이), 서예리 (옮긴이), 유엑스리뷰 리서치랩 (감수)",유엑스리뷰,https://image.aladin.co.kr/product/26431/40/cover/k562738629_1.jpg,"사용성 테스트, 카드 소팅, 설문 조사, A/B 테스트 등 실무에서 가장 많이 쓰이는 12가지 핵심 리서치 방법론들을 총망라해서 다룬다. 또 방법론별로 존재하는 미묘한 차이, 각 접근법의 장단점, 그리고 오랜 실무 경험에서 나온 인사이트를 담은 각종 팁들을 풍부하게 제공한다.",1
2,9791190351607,낭송 춘향전 (큰글자책),"길진숙, 이기원 (옮긴이)",북드라망,https://image.aladin.co.kr/product/26543/55/cover/k582738838_1.jpg,“낭송Q 큰글자책 시리즈” 판소리편의 첫번째 책. 그동안 우리는 이 말들은 지워버리고 줄거리만 취해온 셈. 하여 『춘향전』에서 잃어버린 말과 소리를 다시 찾는 것이 『낭송 춘향전』의 목표다.,2
3,9791197156403,바다의 노래,정현태 (지은이),궁편책,https://image.aladin.co.kr/product/26413/60/cover/k912738424_1.jpg,"정치인 출신 시인이 내는 시집으로, 시인 정현태의 데뷔작이다. '운명의 바다', '생명의 바다', '은혜의 바다', '유배의 바다', '평화의 바다'로 구성된 시집에서 바다는 단연 책의 중심을 관통하는 시적 공간이다.",3
4,9791191018059,"사생활들 - 일상을 이루는 행동, 생각, 기억의 모음",김설 (지은이),꿈꾸는인생,https://image.aladin.co.kr/product/26602/68/cover/k712739018_1.jpg,"'들시리즈'는 한 사람이 책 한 권 분량을 꽉 채워 말할 수 있는 무언가에 대한 에세이이다. &lt;사생활들&gt;은 들시리즈의 첫 번째 책으로, 작가의 일상을 채우고 있는 작은 기쁨들에 대한 이야기이다.",4
5,9788985535267,실전 임상 2 - 창광 명리학,더큼학당 (엮은이),신지평,https://image.aladin.co.kr/product/26359/59/cover/8985535269_1.jpg,"더큼학당에서 창광선생님이 강의하고 수강생들이 기록한 것을 토대로 엮은 것이다. 명리학은 운명을 논하는 학문으로서 명에서 타고남을 알고, 운에서 명에 맞는 재능을 발휘하는 임무와 사람 간에 제 모습을 다하는 역할을 논하는 것이라고 여긴다.",5
6,9791191425833,"선배, 그 립스틱 바르지 마요 포토 에세이",JTBC studios (지은이),위즈덤하우스,https://image.aladin.co.kr/product/26605/98/cover/k982739511_1.jpg,"드라마 [선배, 그 립스틱 바르지 마요]의 셀렘 가득 로맨스를 그대로 담은 포토 에세이가 위즈덤하우스에서 출간된다. JTBC 월화드라마 [선배, 그 립스틱 바르지 마요]는 동명의 웹소설을 원작으로 한 로맨스 드라마로, 현실에서도 존재할 법한 직장 내 팀원들의 각양각색 매력을 보여주며 오피스물의 재미까지 더하며 사랑을 받고 있다.",6
7,8809559747662,BTS 다이너마이트 직소퍼즐 1000피스 : 핑크 - 퍼즐 + 포스터 + 클리어파일 + 포토카드 + 티켓형 책갈피 + 박스 + 유액,대원앤북 편집부 (지은이),대원앤북,https://image.aladin.co.kr/product/26602/22/cover/k342739916_1.jpg,발표 직후 빌보드 '핫 100' 1위에 오른 뒤 6개월 째 핫 100 차트에서 롱런하며 빌보드 '글로벌 200'과 빌보드 '글로벌' 두 차트에서 4회나 동시 1위를 차지한 방탄소년단의 'Dynamite'. 세계인을 사로잡은 기념비적인 노래의 공식 포스터를 직소퍼즐로 간직하자.,7
8,9791137228221,"LAUGHTER: An Essay on the Meaning of the Comic - 웃음, '앙리 베르그송' (영문원서)",앙리 베르그송 (지은이),부크크(bookk),https://image.aladin.co.kr/product/26064/4/cover/k392737055_1.jpg,"LAUGHTER: AN ESSAY ON THE MEANING OF THE COMIC - 웃음, '앙리 베르그송' (영문원서)  - 부제:세계문학전집 - 클래식은 영원하다 시리즈 - 저자:앙리 베르그송(HENRI BERGSON) * 1928년 노벨문학상 수상 작가!세계문학전집 클래식은 영원하다 시리즈!1. CLASSIC IS FOREVER클래식은 영원하다2. THE ORIGINAL BOOK IN... ",8
9,9791164452668,노인과 바다 (미니북),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이)",더클래식,https://image.aladin.co.kr/product/24258/78/cover/k582630571_1.jpg,양차 세계대전을 겪으며 독보적인 서사 기법을 구사했던 어니스트 헤밍웨이가 생애 마지막으로 남긴 불멸의 고전이다. 작가 고유의 서사 기법과 실존 철학이 집약돼 있어서 ‘헤밍웨이 문학의 정점’으로 꼽히는 작품이기도 하다.,9
10,9791164450121,이상한 나라의 앨리스 (미니북),"루이스 캐럴 (지은이), 존 테니얼 (그림), 베스트트랜스 (옮긴이)",더클래식,https://image.aladin.co.kr/product/18800/29/cover/k052635577_1.jpg,심심하고 따분했던 날을 보내던 앨리스는 어느 날 흰 토끼를 쫓아 이상한 나라로 들어간다. 그곳에서 앨리스는 기묘하고 놀라운 일들을 체험한다. 이상한 나라에서 이상한 경험들을 한 앨리스는 과연 무사히 집으로 돌아갈 수 있을까?,9
