id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1,9791166115172,마녀의 여행 1 - S코믹스,"나나오 이츠키 (지은이), 시라이시 죠우기 (원작), 아즈루 (그림), 이신 (옮긴이)",㈜소미미디어,https://image.aladin.co.kr/product/26621/20/cover/k502739134_1.jpg,"어느 곳에 한 마녀가 있었습니다. 이름은 일레이나. 마녀는 여행자로서, 이렇다 할 목적도 없이, 다양한 나라와 사람과 만나며, 흘러가듯이 마음 내키는 대로 긴 여행을 계속하고 있다. 이것은, 그런 마녀 일레이나가 자아내는 만남과 이별의 이야기…….",만화,본격장르만화
2,9791134875022,골든 골드 1,호리오 세이타 (지은이),학산문화사(만화),https://image.aladin.co.kr/product/26611/64/cover/k812739936_1.jpg,"사람의 소원을 들어주는 존재를 우리는 신이라고도, 악마라고도 부른다. 복의 신 전설이 남아있는 섬, 네이지마에 사는 중2의 소녀, 하야사카 루카. 어느 날, 해변에서 발견한 기묘한 조각상을 가져온 그녀는 어떤 「소원」을 담아 그것을 산속의 사당에 놓아둔다.",만화,본격장르만화
3,9791190153676,마른 가지에 바람처럼 1,"달새울 (지은이), 화음 (그림)",영컴(YOUNG COM),https://image.aladin.co.kr/product/26604/4/cover/k022739011_1.jpg,"남편과 아이를 잃은 과부 리에타. 모든 걸 잃은 그녀는 자신을 첩으로 삼으려던 영주 카사리우스의 유언 때문에 함께 순장될 위기에 처한다. 생매장을 눈앞에 둔 그때, 그녀 앞에 킬리언이 나타나 카사리우스에게 받아야 할 빚 대신 리에타를 데려가겠다고 하는데...!",만화,인터넷 연재 만화
4,9791191363609,황제와 여기사 2 - 만화,"TEAM 이약 (지은이), 안경원숭이 (원작)",디앤씨웹툰비즈,https://image.aladin.co.kr/product/26625/76/cover/k172739239_1.jpg,"코에몽강을 건널 방법을 찾아 강 주변의 마을 탐문을 나선 폴리아나와 도나우. 오랜 탐문 끝에 얻은 단서, ‘운 좋은 가을’의 숨겨진 진실은…? 한편, 파죽지세의 아크레아군에 대응하기 위해 중부 국가들이 비밀리에 연합을 도모한다.",만화,본격장르만화
5,9791166115844,전생했더니 슬라임이었던 건에 대하여 16 - S코믹스,"카와카미 타이키 (지은이), 후세 (원작), 밋츠바 (그림), 도영명 (옮긴이)",㈜소미미디어,https://image.aladin.co.kr/product/26813/2/cover/k072730195_1.jpg,"새로운 마왕의 탄생. 그것은 세계의 파워 밸런스가 바뀐다는 걸 의미하고 있었다. 인간, 마물, 그리고 마왕. 리무루는 그 모든 것에 영향을 미치면서, 주목을 받는 존재가 된 것이다. 그런 리무루에게 맹우 베루도라가 부활할 것이란 소식이 전해지는데―.",만화,본격장르만화
6,9791190999069,술과 농담,"편혜영, 조해진, 김나영, 한유주, 이주란, 이장욱 (지은이)",시간의흐름,https://image.aladin.co.kr/product/26838/67/cover/k772730391_1.jpg,"농담을 위해, 한잔을 더 할지, 말지?머무르는 술이 있다.?취해 있어도, 깨어 있어도 좋다고 말하는 6인 작가의 앤솔러지, 『술과 농담』말들의 흐름 시리즈 일곱 번째 책 『술과 농담』은 편혜영, 조해진, 김나영, 한유주, 이주란, 이장욱, 이렇게 여섯 작가의 입담을 모은 앤솔러지이다. 작가들에게서 연결고리를... ",문학,한국에세이
7,9788967212551,두피아노의 BTS 베스트 피아노 연주곡집 (스프링),윤두영 (지은이),삼호ETM,https://image.aladin.co.kr/product/26838/11/cover/8967212550_1.jpg,유튜브 K-POP 피아노 커버 최다 구독자를 보유하고 있는 DooPiano(두피아노)와 방탄소년단(BTS) 음악이 만났다. 그동안 가장 인기 있고 요청이 많았던 방탄소년단의 베스트 30곡을 엄선하여 두피아노의 감성적인 편곡으로 악보에 녹여냈다.,예술,음악
8,9791136263674,기동경찰 패트레이버 애장판 7,유우키 마사미 (지은이),대원씨아이(만화),https://image.aladin.co.kr/product/26556/52/cover/k002738931_1.jpg,"샤프트 엔터프라이즈의 우츠미는 군용 레이버를 패트레이버와 싸우게 함으로써 데이터를 축적한다. 한편, 새로 특차2과에 배속된 쿠마가미 타케오는 대원들이 패트레이버가 지닌 성능을 충분히 발휘하지 못하고 있음을 확신한다.",만화,본격장르만화
9,9791136263681,기동경찰 패트레이버 애장판 8,유우키 마사미 (지은이),대원씨아이(만화),https://image.aladin.co.kr/product/26556/53/cover/k012738931_1.jpg,"샤프트 엔터프라이즈의 우츠미는 군용 레이버를 패트레이버와 싸우게 함으로써 데이터를 축적한다. 한편, 새로 특차2과에 배속된 쿠마가미 타케오는 대원들이 패트레이버가 지닌 성능을 충분히 발휘하지 못하고 있음을 확신한다.",만화,본격장르만화
10,9791134870843,아빠와 아버지의 우리집밥 12,토요타 유우 (지은이),학산문화사(만화),https://image.aladin.co.kr/product/25834/73/cover/k942736435_1.jpg,"새로운 경험이 가득했던 여름방학이 끝나고,한층 더 성장한 아이리와 세이치로. 아이들을 통해서 새로운 만남을 이어가는센고쿠와 하루미. 가족이 함께하는 시간은언제나 놀라움의 연속!! 제로부터 시작하는 남자의 가정 요리,발견의 제12권!!",만화,요리만화
11,9791137231863,최선의 온통,"강수화, 강지혜, 영귤, 진지혜, 김관식, 강한희, 정성수鄭城守, 김현정, 최수진, 庇痕, 블베베, 김태균, 산다, 물에불린바나나, 강형기, 홍모란 (지은이)",부크크(bookk),https://image.aladin.co.kr/product/26270/53/cover/k802738586_1.jpg,이야기집 『보름』에서는 여러분의 사사로운 글을 담아낸다. 주제와 갈래의 관계없이 온전하게 글을 담아낼 수 있는 유일한 투고 체계를 가지고 있다.,문학,한국에세이
12,9791137231979,글로 모인 사이 2,"미소해, 박미숙, 이해니, 선량, 꿀벌 김화숙, 미도리진, 스테르담 (지은이)",부크크(bookk),https://image.aladin.co.kr/product/26330/47/cover/k152738924_1.jpg,하나의 주제를 여러 명이 쓴다면 어떤 글이 나올까?  '글로 모인 사이' 2기의 글쓰기 과정이 끝나고 각자의 글을 책으로 엮고 있습니다.  프롤로그를 쓰는 지금 지난 6주간의 여정이 주마등처럼 지나갑니다.  처음 만나 서먹했던 모습들. 하지만 각자의 이야기가 모여 책으로 나올 즈음 서로에게 얼마나 큰 돈독함을... ,문학,한국에세이
13,9791159256172,우리가 모르는 이웃,박애진 (지은이),들녘,https://image.aladin.co.kr/product/26817/63/cover/k532730197_1.jpg,"박애진 연작소설. 소설은 독특한 핏줄을 타고난 사람들이 인간들 사이에 섞여 살아가는 가운데 겪는 일들을 그린다. 이들은 자신들의 남다른 면모를 들키지 않기 위해 전전긍긍하고, 때로는 그것으로 인해 곤란을 겪기도 한다. 그 모습은 인간보다 더 인간적이다.",문학,판타지/환상문학
