id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1,9791189809454,고귀한 일상 - 일상에서 발견하는 생명과 존재의 아름다움,김혜련 (지은이),서울셀렉션,https://image.aladin.co.kr/product/26994/80/cover/k012730720_1.jpg,"바쁜 도시를 벗어나 평화로운 지방의 작은 마을에서 하루하루 부지런한 삶을 살며 지내는 저자가 일상을 새롭게 발견하며 삶이 주는 깨달음을 기록한 시와 산문 모음집이다. 작고 사소한 것을 고귀하게 만드는 새로운 시선을 통해 생명과 존재의 의미를 다시금 되새기고, 자연의 고귀함과 그 자연에 속한 사람과 삶의 절실한 고귀함을 일깨운다.",문학,한국에세이
2,9788963572482,낮달 - 한옥 건축가 이동일의 세상짓기,이동일 (지은이),논형,https://image.aladin.co.kr/product/27008/89/cover/896357248x_1.jpg,"한옥 건축가이며 대안학교 노작 강사로 활동 중인 이동일 작가의 자연과 사람, 사람과 사람의 소통에 관한 산문집이다. 자연에 대한 세심한 관찰과 사람에 대한 깊은 성찰을 담은 ‘낮달’은 십여 년에 걸쳐 써 온 그의 일기와 같은 일상의 기록이다.",문학,한국에세이
3,9791166496196,지명에서 이순으로의 기행 - 어느 광고인의 광고 아닌 인문교양 에세이,하광용 (지은이),좋은땅,https://image.aladin.co.kr/product/27024/47/cover/k382730425_1.jpg,"이 책을 쓴 광고인 하광용은 광고 기획자(AE)이며 부제에서 보듯 이 책에 광고 이야기는 단 한 줄도 나오지 않는다. 그의 인문학적인 고백만이 있을 뿐이다. 인간사 이때저때 이곳저곳 이것저것, 그리고 이사람저사람에 대해 관심 많은 그이기에 그가 주목한 역사상의 인문학적인 사실이나 사건에 그의 살아온 경험을 입혀 그만의 에세이를 완성했다.",문학,한국에세이
4,9788928407675,녹문집 6,"임성주 (지은이), 이상현 (옮긴이)",한국고전번역원,https://image.aladin.co.kr/product/26665/83/cover/8928407672_1.jpg,"조선 후기 학자 녹문(鹿門) 임성주(任聖周, 1711~1788)의 시문집이다. 본 문집은 26권 13책으로 이루어져 있는데 일반적으로 문집 앞머리에 시가 수록되는 것과 달리 서(書)가 수록된 것이 특징이다.",문학,우리나라 옛글
5,9788928407682,녹문집 7,"임성주 (지은이), 이상현 (옮긴이)",한국고전번역원,https://image.aladin.co.kr/product/26665/84/cover/8928407680_1.jpg,"조선 후기 학자 녹문(鹿門) 임성주(任聖周, 1711~1788)의 시문집이다. 본 문집은 26권 13책으로 이루어져 있는데 일반적으로 문집 앞머리에 시가 수록되는 것과 달리 서(書)가 수록된 것이 특징이다.",문학,우리나라 옛글
6,9788928407668,녹문집 5,"임성주 (지은이), 이상현 (옮긴이)",한국고전번역원,https://image.aladin.co.kr/product/26665/75/cover/8928407664_1.jpg,"조선 성리학 6대가의 한 사람, 녹문 임성주의 문집. 조선후기를 살며 사유하고 탐구한 녹문의 사상과 철학을 통해 조선후기 성리학사에서 그의 위치를 가늠해 볼 수 있다. 2권에서는 녹문이 예론에 대해 논한 것을 볼 수 있다.",문학,우리나라 옛글
7,9788928407712,구봉집 2,"송익필 (지은이), 정선용 (옮긴이)",한국고전번역원,https://image.aladin.co.kr/product/26665/75/cover/8928407710_1.jpg,"조선 전기의 학자 구봉 송익필의 문집이다. 송익필은 이이나 성혼이 우러러볼 정도로 학문이 높았으며, 제갈량에 비견될 정도로 지략이 뛰어났다고 한다. 그러나 노비 출신이라는 신분적 제약과 동인과 서인으로 나뉜 붕당의 폐해로 인해 벼슬길에 나가지 못한 채 각지를 떠돌며 곤궁한 삶을 살았다.",문학,우리나라 옛글
8,9788928407736,대곡집,"성운 (지은이), 변은미, 손해진, 장미나, 정재호, 진유라 (옮긴이)",한국고전번역원,https://image.aladin.co.kr/product/26665/85/cover/8928407737_1.jpg,한국고전번역원 한국문집번역총서. 조선 전기의 학자 대곡 성운의 문집이다. 성운은 16세기 충남 보은의 속리산 일대를 중심으로 활동한 처사형 사림의 전형으로 꼽히는 인물이다.,문학,우리나라 옛글
9,9791197349027,1일 1장 스테인드 글라스 컬러링,독개비 편집부 (지은이),독개비,https://image.aladin.co.kr/product/26981/24/cover/k472730512_2.jpg,다양한 문양의 스테인드 컬러링을 직접 색칠하며 만나는 책이다. 스테인드 글라스가 유리에 입힌 색이 빛을 만나 다양한 변화를 일으키듯 스테인드 글라스 컬러링북도 나만의 컬러링으로 힐링하는 시간을 갖기에 적합한 도안이다.,예술,컬러링북
10,9791165453787,색의 연가 - Love Song of Color,김현주 (지은이),바른북스,https://image.aladin.co.kr/product/27091/12/cover/k742731332_1.jpg,한 여인의 그림과 인생 이야기.,예술,미술
11,9791128861871,웹툰 속 여성 캐릭터,박성희 (지은이),커뮤니케이션북스,https://image.aladin.co.kr/product/27087/25/cover/k792731100_1.jpg,"에니어그램을 활용해 웹툰 속 여성 캐릭터를 아홉 가지 유형으로 분류한다. 창작자에게는 캐릭터를 입체적으로 구축하는 데 필요한 지표를, 독자에게는 캐릭터를 다각도로 이해할 수 있는 분석틀을 제공한다.",만화,만화그리기와 읽기
