id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1445,9788992647601,"세상에 너를 소리쳐! :꿈으로의 질주, 빅뱅 13,140일의 도전 ",빅뱅 지음 ;김세아 정리,에스에이엠티유,http://image.aladin.co.kr/product/304/92/cover/8992647603_3.jpg,빅뱅이 전하는 도전과 희망의 메시지. 가수라는 꿈을 향해 전력질주해온 빅뱅 다섯 명의 도전 과정을 담았다. 크게 5장으로 구성된 책은 멤버 각자의 메시지 키워드를 중심으로 전개된다. 어리다고 꿈조차 어릴 수 없다는 사실을 입증하는 그들의 꿈을 이루는 방법에 대한 진지한 고민과 메시지를 전한다.,문학,명사에세이
1446,9788961456630,A.J ,지오 지음,디앤씨미디어,http://image.aladin.co.kr/product/293/29/cover/8961456636_1.jpg,"한 여자와의 만남은 그를 운명의 소용돌이로 밀어 넣었다. 자신이 가진 모든 것을 남겨둔 채 한국행 비행기에 오른 푸른 눈의 이방인. 사랑 앞에서 더욱 당당했고, 아름다웠던 남자 A. J.새로운 사랑을 하기엔 너무 지쳐 버렸다. 애인의 배신에도 눈물을 보이지 않았던 최은수. 그런 그녀에게 어느 날 갑자기 오후... ",문학,로맨스소설
1447,9788957862773,그리운 감옥 ,저자: 최은옥,연극과인간,http://image.aladin.co.kr/product/294/42/cover/8957862773_1.jpg,"『그리운 감옥』. 최은옥 희곡집 1. 2002년도 제4회 옥랑 희곡상 수상작인 &lt;평강의 푸른 피리&gt;를 비롯해 &lt;그리운 감옥&gt;, &lt;초원빌라 B001호&gt;, &lt;머나먼 알라스카의 오두막&gt;의 희곡이 담겨 있다.",예술,연극
1448,9788935304394,컴퓨터 구조 =Computer architecture ,"저자: 신동석,장경수",정익사,http://image.aladin.co.kr/product/323/52/cover/8935304395_1.jpg,"[머리말]본서의 주요 목적은 디지털 컴퓨터 구조의 기본 개념을 이해하고 다양한 응용 영역에 적용할 수 있도록 하기 위함이다. 제1장에서부터 제3장까지는 컴퓨터 구조학의 기초가 되는 내용으로, 디지털 논리 회로와 자료 구조를 이수한 경우에는 복습 형식으로 진행하거나 생략하여도 무리가 없을 것 같다.... ",IT,컴퓨터 공학
1449,9788960710979,2007 중국어문학연감 ,중국학@센터 연감팀 엮음,學古房,http://image.aladin.co.kr/product/299/94/cover/8960710970_1.jpg,"[표지글]이 책은 논문 필자의 이름 순과 학술지명 순 두 가지로 정리되어 있으며, 각 항목별로 해당 논문이 수록된 학술지의 명칭과 권수 그리고 간행시기가 정리되어 있다. 정리 바업에 대해서는 논문의 전공 분야별로 분류하는 것이 가장 타당하다는 의견이 제시되기도 하였지만,논문의 전공 분야를 명확하게... ",문학,문학의 이해
1450,9788992300148,아이러브 팬플루트 =느낌이 좋은 팬플루트음악 만들기 /Panflute Method ,제임스 정,디자인기타,http://image.aladin.co.kr/product/211/91/cover/899230014x_1.jpg,"『아이러브 팬플루트』. 팬플루트 교본. 이 교본은 관악기의 공통적인 연주법, 호흡법, 텅잉, 자세, 테크닉, 에튀드 등을 바탕으로 많은 사람들이 다양하게 즐길 수 있도록 독주곡과 앙상블곡 등을 반주 CD와 함께 제공한 것이다. CD 1장 제공.",예술,음악
1451,9788992300063,아이러브 오카리나 =느낌이 좋은 오카리나음악 만들기 /Ocarina method ,제임스 정 편저,디자인기타,http://image.aladin.co.kr/product/90/5/cover/8992300069_1.jpg,"이 교본은 오카리나와 같은 관악기인 플루트를 공부한 저자가 관악기의 공통적인 연주법, 호흡법, 텅잉, 자세, 테크닉, 에튀드 등을 바탕으로 많은 사람들이 다양하게 즐길 수 있도록 독주곡, 앙상블곡을 음악적으로 쉽고, 깊게 접근하여 구성하였다.",예술,음악
1452,9788992723381,도구라마구라,유메노 큐사쿠 지음 ;이동민 옮김,피뢰침북스,http://image.aladin.co.kr/product/276/96/cover/8992723385_1.jpg,"탐정소설가 유메노 큐사쿠의 대표작으로 구상에서 탈고까지 10년이란 긴 세월이 소요된 작품. 과 과 함께 일본 본격탐정소설 3대 기서로 불리며, 주간 문예춘추의 '일본 역대 미스터리 베스트 100'에서 6위로 선정된 바 있다. 일본 추리, 환상, 호러, 과학소설의 시초격으로 국내 첫 완역본이다.",문학,추리/미스터리소설
1453,9788961458788,프린세스 키스 =Princess' kiss,Avra 지음 ;Cuteg 일러스트,디앤씨미디어,http://image.aladin.co.kr/product/316/12/cover/8961458787_1.jpg,"난데없고 황당한 사건으로 학교 공인 공주님 효린과 커플이 된 은영. 하지만 현실은 남자친구가 아닌 노예취급이다. 동화 속 공주님의 모습을 한 변신소녀들이 영원한 행복을 얻기 위해 왕자인 은영을 노리는 가운데 자신을 기사라고 칭한 효린은 그런 은영을 지켜주겠다고 말하며 덧붙인다. '그러니까 난, 너랑 죽어도 키스 안 해!'",문학,라이트 노벨
1454,9788961458580,프린세스 키스 =Princess' kiss,Avra 지음 ;Cuteg 일러스트,디앤씨미디어,http://image.aladin.co.kr/product/366/66/cover/8961458582_1.jpg,"공주들과 함께 바닷가에서 바캉스를 즐기고 있는 은영에게 걸려온 한 통의 전화. 그것은 독일에서 유학중인 여동생 은희의 것이었다.평범한 자신과 달리 너무도 빼어난 동생. 자연히 피어나는 열등감이란 마음의 어둠. 동생과의 만남을 꺼린 은영이지만 은희는 결국 은영의 학교까지 찾아오고, 남매가 재회하는... ",문학,라이트 노벨
1455,9788926780138,프린세스 키스 =Princess' kiss,Avra 지음 ;Cuteg 일러스트,디앤씨미디어,http://image.aladin.co.kr/product/450/4/cover/8926780139_1.jpg,"밝혀진 진실의 잔혹함 앞에 은영은 한나를 선택하고, 이에 효린은 버려진 인형처럼 망가져 버린다. 새로운 기사단장이 된 신호의 지휘 아래 기사단은 가차 없이 공주들을 추살하기 시작하고, 끝을 알리는 종소리와 함께 이 비틀린 윤무의 무도회는 파국의 클라이맥스로 치달아간다. 왕자와 공주는 과연 행복해질 수 있는 것인가?",문학,라이트 노벨
